sku,lensType,ODSphere,ODCylinder,ODAxis,ODAdd,OSSphere,OSCylinder,OSAxis,OSAdd,appearance,material,size,tint,addDate
2,Bifocal,1.75,-0.25,26,2.50,1.75,-2.25,46,2.50,Neutral,-,Medium,N,20170512
3,Bifocal,1.75,-0.50,95,3.25,2.50,-0.75,99,3.25,Neutral,-,Medium,N,20170512
4,Bifocal,1.75,-0.50,59,3.00,1.25,-0.50,148,3.00,Neutral,-,Small,N,20170512
5,Bifocal,0.50,0.00,0,2.75,1.50,-0.50,95,2.75,Neutral,-,Medium,N,20130415
6,Bifocal,2.50,-1.00,18,2.00,2.50,-0.75,81,2.00,Feminine,Plastic,Large,N,20090607
7,Bifocal,2.00,-0.25,5,2.00,2.25,-1.00,142,2.00,Feminine,Plastic,Medium,N,20091113
8,Bifocal,2.50,-0.75,104,2.50,2.25,-1.25,54,2.50,Neutral,Metal,Medium,N,20090607
9,Bifocal,0.00,0.00,0,2.00,2.00,-1.25,76,2.00,Neutral,-,Medium,N,20130415
10,Bifocal,1.50,-0.50,101,2.00,2.00,-0.50,98,2.00,Neutral,-,Medium,N,20180420
11,Bifocal,11.00,-0.50,82,2.00,11.00,-0.25,13,2.00,Neutral,Plastic,Small,N,20100512
12,Single,-2.00,-1.00,3,0.00,-1.00,-2.00,171,0.00,Neutral,-,Small,N,20160401
13,Bifocal,0.50,-0.50,110,3.25,0.00,-0.25,87,3.25,Feminine,-,Medium,N,20140504
14,Single,4.25,0.00,0,0.00,2.25,0.00,0,0.00,Neutral,-,Large,N,20120616
15,Single,5.00,-1.25,91,0.00,5.00,-1.25,85,0.00,Neutral,Metal,Medium,N,20190914
16,Bifocal,2.00,-1.50,63,3.00,2.00,-1.50,61,3.00,Neutral,Metal,Medium,N,20100512
17,Bifocal,0.50,-0.50,9,2.00,2.50,-1.75,6,2.00,Feminine,-,Small,N,20140504
18,Bifocal,2.50,-0.75,40,2.25,2.75,-0.25,131,2.25,Neutral,Metal,Medium,N,20090607
19,Bifocal,2.25,-1.00,97,3.00,3.00,-1.25,98,3.00,Feminine,-,Medium,N,20150505
20,Single,3.00,-0.75,121,0.00,3.25,-0.50,73,0.00,Neutral,-,Medium,N,20120616
21,Bifocal,1.75,-1.00,85,2.75,2.75,-1.50,79,2.75,Feminine,-,Large,N,20170512
22,Bifocal,0.25,-1.50,118,2.75,0.25,-2.25,42,2.75,Neutral,-,Small,N,20111102
23,Single,3.00,-0.50,139,0.00,1.75,0.00,0,0.00,Neutral,-,Small,N,20120616
24,Bifocal,2.00,-0.50,105,2.50,3.00,-0.75,156,2.50,Neutral,Plastic,Medium,L,20090607
25,Single,3.00,-0.75,92,0.00,3.00,-0.75,89,0.00,Neutral,-,Medium,N,20120616
26,Bifocal,1.75,-1.00,75,4.00,0.50,0.00,0,4.00,Neutral,-,Medium,N,20170512
27,Bifocal,1.25,-0.25,79,2.50,1.25,0.00,0,2.50,Neutral,Plastic,Large,N,20091113
28,Bifocal,1.75,-0.50,93,2.75,1.75,-0.25,92,2.75,Feminine,-,Medium,N,20170512
29,Bifocal,1.00,-1.00,137,2.50,0.00,-1.00,25,2.50,Neutral,-,Small,N,20180420
30,Single,9.00,-0.25,31,0.00,8.50,-0.25,121,0.00,Neutral,Metal,Small,N,20091022
31,Bifocal,2.00,-1.50,90,3.25,3.25,-0.75,97,3.25,Neutral,Metal,Large,L,20090607
32,Bifocal,1.75,-7.25,2,4.50,0.50,-5.00,166,4.50,Neutral,-,Small,N,20110425
33,Single,-2.25,-0.50,75,0.00,-2.50,-1.00,135,0.00,Neutral,-,Medium,N,20180420
34,Bifocal,2.00,-1.25,93,2.25,2.00,-1.25,90,2.25,Neutral,Plastic,Large,N,20100512
35,Bifocal,1.75,-0.75,107,1.25,3.75,-1.75,78,1.25,Neutral,-,Medium,N,20180420
36,Single,3.25,0.00,0,0.00,1.50,-0.75,173,0.00,Neutral,-,Medium,N,20120616
38,Single,2.00,-0.50,88,0.00,1.75,-0.50,82,0.00,Neutral,-,Large,N,20120616
39,Bifocal,2.00,-0.25,3,3.25,1.00,-1.00,110,3.25,Feminine,-,Large,N,20150505
40,Bifocal,1.75,-1.75,126,2.25,2.25,-1.75,79,2.25,Neutral,-,Medium,N,20110425
41,Bifocal,0.50,-0.25,118,2.00,0.00,-0.25,67,2.00,Neutral,-,Medium,N,20140504
42,Single,-8.50,-0.25,177,0.00,-8.25,-0.25,175,0.00,Neutral,Plastic,Small,N,20190914
43,Bifocal,0.50,-1.00,153,2.00,0.00,-2.25,177,2.00,Neutral,Plastic,Medium,N,20100512
44,Bifocal,19.00,0.00,0,4.50,15.50,0.00,0,4.50,Neutral,Plastic,Medium,N,20060131
45,Bifocal,1.75,-0.25,94,2.50,1.50,0.00,0,2.50,Neutral,-,Medium,N,20170512
46,Bifocal,4.50,-0.50,13,2.50,4.25,-0.50,169,2.50,Feminine,Plastic,Large,N,20190916
47,Single,-1.25,-0.50,94,0.00,-1.75,-0.50,76,0.00,Neutral,-,Medium,N,20140620
48,Bifocal,-1.00,-0.75,32,2.00,0.00,-0.50,101,2.00,Neutral,-,Small,N,20160401
49,Bifocal,2.75,-0.75,79,2.25,3.00,-0.75,74,2.25,Neutral,-,Medium,N,20130417
50,Bifocal,1.25,-0.75,89,1.75,1.25,-1.00,112,1.75,Neutral,-,Small,N,20180420
51,Bifocal,2.50,-1.00,106,2.25,2.75,-1.50,93,2.25,Neutral,Plastic,Large,L,20090607
52,Bifocal,0.75,-2.00,150,3.50,0.00,-1.50,56,3.50,Neutral,Plastic,Medium,N,20100512
53,Bifocal,2.75,-1.00,107,3.00,2.50,-1.25,141,3.00,Feminine,-,Large,N,20130417
54,Bifocal,1.50,-1.00,59,2.00,3.00,-2.00,90,3.00,Neutral,-,Medium,N,20110425
55,Bifocal,1.50,-2.00,75,1.75,1.50,-2.00,88,1.75,Neutral,-,Small,N,20170512
56,Bifocal,1.75,-0.25,61,2.25,1.50,-0.25,105,2.25,Neutral,-,Medium,N,20180420
57,Bifocal,5.50,-1.25,24,2.50,4.50,-1.25,178,2.50,Neutral,Metal,Large,N,20190916
58,Bifocal,1.25,-0.25,87,1.75,2.50,-0.75,101,1.75,Neutral,-,Medium,N,20180420
59,Bifocal,1.50,-0.50,96,1.75,1.25,-0.25,108,1.75,Neutral,-,Medium,N,20170512
